LGA name,Health Care Card,JobSeeker Payment,Low Income Card,Total Youth Allowance
Melbourne (C),10952,6233,772,3340
Melton (C),16398,8560,1382,2628
Mildura (RC),4880,3222,444,661
Mitchell (S),3674,2282,402,524
Moira (S),2124,1395,310,275
Monash (C),12553,5718,1866,3112
Moonee Valley (C),8019,4571,1104,1511
Moorabool (S),2507,1430,356,323
Moreland (C),14731,8386,1382,2957
Mornington Peninsula (S),9679,5993,1638,1193
Mount Alexander (S),1401,910,259,157
Moyne (S),1087,610,224,99
Murrindindi (S),965,664,163,119
Nillumbik (S),3035,1410,615,495
Northern Grampians (S),812,622,162,93
Port Phillip (C),6274,4647,519,1034
Pyrenees (S),570,407,103,62
Queenscliffe (B),134,63,39,20
South Gippsland (S),1990,1205,451,198
Southern Grampians (S),1044,705,233,126
Stonnington (C),5283,3014,450,1329
Strathbogie (S),681,493,122,65
Surf Coast (S),1888,956,341,260
Swan Hill (RC),1534,942,190,197
Towong (S),393,276,53,35
Wangaratta (RC),1831,1140,298,269
Warrnambool (C),2582,1602,545,442
Wellington (S),3501,2241,717,395
West Wimmera (S),195,165,25,22
Whitehorse (C),10725,5006,1839,2230
Whittlesea (C),19922,11098,1946,3525
Wodonga (C),3295,2032,330,548
Wyndham (C),26605,12874,2203,3923
Yarra (C),6665,4434,505,1567
Yarra Ranges (S),9580,5470,1506,1377
Yarriambiack (S),411,332,62,45
Unincorporated Vic,41,31,5,0
Aurukun (S),436,342,0,46
Balonne (S),334,213,7,33
Banana (S),764,497,39,86
Barcaldine (R),160,90,7,16
Barcoo (S),12,7,0,0
Blackall-Tambo (R),78,81,7,0
Boulia (S),46,32,0,5
Brisbane (C),82211,48413,4568,20331
Bulloo (S),14,11,0,0
Bundaberg (R),8519,6514,759,1303
Burdekin (S),1084,893,56,155
Burke (S),40,31,0,5
Cairns (R),16547,11502,635,2512
Carpentaria (S),309,245,0,28
Cassowary Coast (R),2585,2149,138,299
Central Highlands (R) (Qld),1391,965,72,169
Charters Towers (R),839,647,46,102
Cherbourg (S),322,240,5,67
Cloncurry (S),237,196,5,20
Cook (S),544,424,7,42
Croydon (S),38,22,0,0
Diamantina (S),17,12,0,5
Doomadgee (S),397,276,5,54
Douglas (S),1378,1059,72,125
Etheridge (S),47,30,0,5
Flinders (S) (Qld),85,73,0,8
Fraser Coast (R),9781,8098,962,1460
Gladstone (R),5466,4414,360,799
Gold Coast (C),50242,32776,2213,9306
Goondiwindi (R),700,407,36,103
Gympie (R),4591,3535,359,688
Hinchinbrook (S),717,647,67,87
Hope Vale (S),312,201,6,40
Ipswich (C),20822,13250,1024,3785
Isaac (R),600,398,25,62
Kowanyama (S),370,275,5,56
Livingstone (S),2222,1693,253,252
Lockhart River (S),162,105,0,18
Lockyer Valley (R),3384,2233,166,693
Logan (C),33478,21349,1487,5872
Longreach (R),180,124,5,21
Mackay (R),7279,5326,479,1002
McKinlay (S),41,24,0,0
Mapoon (S),58,39,5,0
Maranoa (R),765,469,50,115
Mareeba (S),2231,1803,92,210
Moreton Bay (R),35462,23462,2338,6074
Mornington (S),285,198,0,25
Mount Isa (C),1660,1152,36,245
Murweh (S),276,209,19,37
Napranum (S),223,190,0,25
Noosa (S),3598,2837,282,498
North Burnett (R),852,674,54,98
Northern Peninsula Area (R),511,315,5,50
Palm Island (S),644,453,5,104
Paroo (S),200,141,5,23
Pormpuraaw (S),229,173,0,18
Quilpie (S),53,40,0,10
Redland (C),9363,6494,691,1458
Richmond (S),36,21,0,0
Rockhampton (R),6784,4785,430,1065
Scenic Rim (R),2958,2199,213,452
Somerset (R),2032,1532,147,281
South Burnett (R),2831,2108,224,358
Southern Downs (R),2786,2027,267,384
Sunshine Coast (R),23824,15452,1628,4459
Tablelands (R),2109,1713,113,263
Toowoomba (R),12692,7745,898,2357
Torres (S),472,245,0,50
Torres Strait Island (R),1326,620,9,96
Townsville (C),16262,10775,823,3291
Weipa (T),139,70,5,14
Western Downs (R),2610,1766,122,391
Whitsunday (R),2740,2254,143,271
