LGA name,Health Care Card,JobSeeker Payment,Low Income Card,Total Youth Allowance
Burke (S),36,30,0,0
Cairns (R),14502,9551,622,2216
Carpentaria (S),269,212,0,24
Cassowary Coast (R),2290,1861,147,252
Central Highlands (R) (Qld),1265,869,69,164
Charters Towers (R),758,601,47,93
Cherbourg (S),308,212,0,62
Cloncurry (S),221,165,0,23
Cook (S),557,400,15,46
Croydon (S),32,16,0,0
Diamantina (S),12,6,0,5
Doomadgee (S),396,262,0,46
Douglas (S),1088,860,71,98
Etheridge (S),45,28,5,0
Flinders (S) (Qld),86,63,5,13
Fraser Coast (R),8842,7198,1006,1317
Gladstone (R),4904,3971,367,704
Gold Coast (C),43022,26525,2252,8858
Goondiwindi (R),640,365,38,76
Gympie (R),4129,3173,365,609
Hinchinbrook (S),660,580,65,65
Hope Vale (S),305,184,6,38
Ipswich (C),18805,11530,1023,3478
Isaac (R),544,366,26,52
Kowanyama (S),394,292,0,65
Livingstone (S),1965,1454,259,224
Lockhart River (S),150,97,0,20
Lockyer Valley (R),3116,1930,178,670
Logan (C),30118,18391,1533,5394
Longreach (R),153,107,6,16
Mackay (R),6594,4765,504,877
McKinlay (S),38,23,0,5
Mapoon (S),68,50,5,5
Maranoa (R),699,408,50,95
Mareeba (S),2038,1656,84,185
Moreton Bay (R),31524,20142,2364,5626
Mornington (S),280,199,0,25
Mount Isa (C),1532,1060,35,227
Murweh (S),262,221,22,35
Napranum (S),222,185,0,27
Noosa (S),2935,2305,281,432
North Burnett (R),792,606,57,78
Northern Peninsula Area (R),513,282,5,38
Palm Island (S),618,406,5,100
Paroo (S),194,139,0,21
Pormpuraaw (S),230,182,0,15
Quilpie (S),56,35,0,5
Redland (C),8241,5516,702,1382
Richmond (S),33,20,5,5
Rockhampton (R),6254,4341,450,968
Scenic Rim (R),2608,1928,210,397
Somerset (R),1828,1367,150,250
South Burnett (R),2636,1934,242,320
Southern Downs (R),2563,1837,253,346
Sunshine Coast (R),20694,12754,1684,4167
Tablelands (R),1864,1496,124,218
Toowoomba (R),11623,6858,916,2147
Torres (S),463,230,5,55
Torres Strait Island (R),1330,617,9,86
Townsville (C),14886,9587,827,3119
Weipa (T),118,56,0,11
Western Downs (R),2415,1566,131,369
Whitsunday (R),2287,1887,149,223
Winton (S),42,27,5,5
Woorabinda (S),325,247,6,60
Wujal Wujal (S),118,80,5,5
Yarrabah (S),867,612,9,157
Adelaide (C),2042,1212,103,891
Adelaide Hills (DC),1562,828,180,308
Adelaide Plains (DC),595,420,40,105
Alexandrina (DC),1744,1348,234,247
Anangu Pitjantjatjara (AC),685,543,0,59
Barossa (DC),1216,773,127,181
Barunga West (DC),125,161,14,6
Berri and Barmera (DC),779,649,63,124
Burnside (C),1829,847,156,502
Campbelltown (C) (SA),3081,1697,257,785
Ceduna (DC),380,283,9,40
Charles Sturt (C),7256,4993,603,1737
Clare and Gilbert Valleys (DC),457,340,40,57
Cleve (DC),124,45,5,6
Coober Pedy (DC),232,277,0,23
Copper Coast (DC),1182,1036,184,111
Elliston (DC),80,55,7,0
Flinders Ranges (DC),122,88,10,8
Franklin Harbour (DC),82,56,5,0
Gawler (T),1762,1222,144,381
Goyder (DC),346,232,32,25
Grant (DC),350,226,46,42
Holdfast Bay (C),1749,1050,181,429
Kangaroo Island (DC),285,222,21,21
Karoonda East Murray (DC),91,60,7,5
Kimba (DC),91,15,5,5
Kingston (DC) (SA),99,95,12,0
Light (RegC),884,438,87,194
Lower Eyre Peninsula (DC),222,140,30,15
Loxton Waikerie (DC),669,526,59,73
Maralinga Tjarutja (AC),31,26,0,0
Marion (C),6350,3939,602,1727
Mid Murray (DC),728,699,73,83
Mitcham (C),3253,1493,278,1029
Mount Barker (DC),2180,1252,203,427
Mount Gambier (C),2069,1463,264,320
Mount Remarkable (DC),207,138,15,13
Murray Bridge (RC),1869,1519,153,282
Naracoorte and Lucindale (DC),416,272,36,39
Northern Areas (DC),240,209,27,18
Norwood Payneham St Peters (C),1838,1077,137,525
Onkaparinga (C),13326,9138,1154,2669
Orroroo/Carrieton (DC),76,21,0,10
Peterborough (DC),181,203,9,24
Playford (C),11075,8085,700,2208
Port Adelaide Enfield (C),10144,7015,678,2364
Port Augusta (C),1476,1205,92,212
Port Lincoln (C),1106,879,78,167
Port Pirie City and Dists (M),1531,1277,194,276
Prospect (C),1097,616,95,299
Renmark Paringa (DC),676,542,52,97
Robe (DC),64,45,12,11
Roxby Downs (M),94,54,5,10
Salisbury (C),14031,9188,887,3179
Southern Mallee (DC),96,62,8,13
Streaky Bay (DC),142,113,18,13
Tatiara (DC),273,164,18,25
Tea Tree Gully (C),5580,3265,495,1164
The Coorong (DC),379,332,22,41
Tumby Bay (DC),121,86,18,5
Unley (C),1646,860,131,488
Victor Harbor (C),919,725,128,138
Wakefield (DC),523,386,49,59
Walkerville (M),337,197,29,96
Wattle Range (DC),709,576,96,94
West Torrens (C),3762,2259,272,1067
Whyalla (C),2052,1839,190,342
Wudinna (DC),44,34,5,0
Yankalilla (DC),348,315,51,34
Yorke Peninsula (DC),682,628,126,71
Unincorporated SA,339,326,0,44
Albany (C),2320,1599,228,311
Armadale (C),6988,4624,474,1239
Ashburton (S),207,145,0,15
Augusta-Margaret River (S),891,600,112,65
Bassendean (T),982,678,63,168
Bayswater (C),4594,2947,386,900
Belmont (C),3223,2116,219,619
Beverley (S),113,95,14,14
Boddington (S),100,81,8,0
Boyup Brook (S),77,61,5,0
Bridgetown-Greenbushes (S),279,195,53,26
Brookton (S),77,51,0,7
Broome (S),1826,1241,39,234
Broomehill-Tambellup (S),74,51,5,9
Bruce Rock (S),49,37,0,5
Bunbury (C),2504,1966,262,375
Busselton (C),2098,1429,240,247
Cambridge (T),763,337,49,242
Canning (C),6367,3122,546,1620
Capel (S),889,538,116,132
Carnamah (S),43,41,5,0
Carnarvon (S),635,523,16,83
Chapman Valley (S),70,50,5,6
Chittering (S),246,132,28,24
Claremont (T),357,148,24,124
Cockburn (C),6576,4111,529,1370
Collie (S),732,637,71,74
Coolgardie (S),228,204,13,22
Coorow (S),71,60,7,5
Corrigin (S),51,44,6,5
Cottesloe (T),215,82,10,79
Cranbrook (S),66,43,5,10
Cuballing (S),55,35,15,5
Cue (S),28,31,0,5
Cunderdin (S),66,47,5,5
Dalwallinu (S),63,32,0,0
Dandaragan (S),206,166,23,8
Dardanup (S),738,477,93,87
Denmark (S),374,297,54,20
Derby-West Kimberley (S),1828,1313,16,211
Donnybrook-Balingup (S),334,272,41,31
Dowerin (S),44,26,0,5
Dumbleyung (S),48,35,5,5
Dundas (S),89,72,0,0
East Fremantle (T),293,167,27,69
East Pilbara (S),613,439,8,67
Esperance (S),774,517,48,107
Exmouth (S),159,127,9,11
Fremantle (C),2142,1634,160,480
Gingin (S),247,209,23,20
Gnowangerup (S),81,56,5,15
Goomalling (S),53,39,0,5
Gosnells (C),10477,6108,734,2000
Greater Geraldton (C),3439,2482,169,468
Halls Creek (S),982,650,5,140
Harvey (S),1410,1015,183,159
Irwin (S),181,189,20,20
Jerramungup (S),48,34,7,0
Joondalup (C),7229,3908,761,1532
Kalamunda (C),3031,1735,294,510
Kalgoorlie/Boulder (C),1543,1114,59,172
Karratha (C),1050,737,22,97
Katanning (S),394,277,22,44
Kellerberrin (S),74,76,5,17
Kent (S),7,5,0,0
Kojonup (S),115,89,5,6
Kondinin (S),35,28,0,0
Koorda (S),22,17,0,0
Kulin (S),29,14,5,10
Kwinana (C),3588,2470,247,585
Lake Grace (S),48,16,0,5
Laverton (S),128,118,0,13
Leonora (S),127,101,5,10
Mandurah (C),6329,4706,646,1006
Manjimup (S),557,406,63,63
Meekatharra (S),211,158,0,37
Melville (C),4478,2165,421,1275
Menzies (S),32,24,0,0
Merredin (S),220,178,13,27
Mingenew (S),17,17,0,5
Moora (S),195,137,9,26
Morawa (S),62,42,5,15
Mosman Park (T),380,246,19,102
Mount Magnet (S),101,88,5,13
Mount Marshall (S),20,11,5,5
Mukinbudin (S),24,12,0,0
Mundaring (S),1751,1130,173,298
Murchison (S),0,0,0,0
Murray (S),1189,903,137,171
Nannup (S),93,93,12,5
Narembeen (S),30,19,5,0
Narrogin (S),362,263,25,51
Nedlands (C),661,261,41,259
Ngaanyatjarraku (S),426,355,0,36
Northam (S),979,728,42,140
Northampton (S),252,230,22,11
Nungarin (S),18,12,0,0
Peppermint Grove (S),30,14,0,5
Perenjori (S),15,10,5,5
Perth (C),2354,1395,130,714
Pingelly (S),102,89,8,9
Plantagenet (S),388,275,44,40
Port Hedland (T),1065,803,16,100
Quairading (S),73,74,5,10
Ravensthorpe (S),74,67,5,6
Rockingham (C),8910,5945,671,1423
Sandstone (S),0,6,0,0
Serpentine-Jarrahdale (S),1635,912,139,254
Shark Bay (S),49,42,5,5
South Perth (C),2341,1141,165,832
Stirling (C),13457,8374,1070,2759
Subiaco (C),713,392,56,218
Swan (C),11225,6620,791,1989
Tammin (S),47,32,5,5
Three Springs (S),43,37,0,10
Toodyay (S),298,224,36,25
Trayning (S),13,14,0,0
Upper Gascoyne (S),7,5,0,5
Victoria Park (T),2503,1466,174,696
Victoria Plains (S),32,19,7,10
Vincent (C),1990,1149,158,543
Wagin (S),117,106,5,10
Wandering (S),15,18,0,10
Wanneroo (C),14222,8427,1088,2790
Waroona (S),269,237,19,22
West Arthur (S),38,22,0,0
Westonia (S),14,5,0,5
Wickepin (S),42,28,5,5
Williams (S),28,22,0,0
Wiluna (S),99,77,0,11
Wongan-Ballidu (S),67,56,5,13
Woodanilling (S),31,26,0,0
Wyalkatchem (S),31,30,5,5
Wyndham-East Kimberley (S),1012,702,13,122
Yalgoo (S),47,32,5,7
Yilgarn (S),60,63,0,10
York (S),237,193,20,20
Break O'Day (M),613,628,105,47
Brighton (M),1642,1108,135,326
Burnie (C),1610,1172,217,307
Central Coast (M) (Tas0),1406,974,268,176
Central Highlands (M) (Tas0),179,150,24,16
Circular Head (M),471,357,71,45
Clarence (C),3327,1974,425,740
Derwent Valley (M),888,674,103,158
Devonport (C),1914,1493,265,343
Dorset (M),531,421,84,59
Flinders (M) (Tas0),60,49,5,10
George Town (M),706,568,104,110
Glamorgan/Spring Bay (M),289,237,57,33
Glenorchy (C),3939,2757,360,838
Hobart (C),3270,1676,354,1181
Huon Valley (M),1408,1032,254,180
Kentish (M),467,354,94,43
King Island (M),62,41,10,10
Kingborough (M),2112,1051,299,408
Latrobe (M) (Tas0),671,447,142,68
Launceston (C),6132,4099,634,1342
Meander Valley (M),1172,855,189,188
Northern Midlands (M),831,600,129,116
Sorell (M),1079,667,149,160
Southern Midlands (M),458,290,48,75
Tasman (M),188,179,35,20
Waratah/Wynyard (M),914,681,148,135
West Coast (M),384,433,31,32
West Tamar (M),1524,943,266,231
Alice Springs (T),3161,2164,44,343
Barkly (R),1483,1041,9,144
Belyuen (S),79,57,0,17
Central Desert (R),1165,769,5,122
Coomalie (S),142,135,0,9
Darwin (C),4725,2943,142,636
East Arnhem (R),2892,2010,0,318
Katherine (T),1326,883,16,199
Litchfield (M),1049,846,41,94
MacDonnell (R),1635,1206,0,214
Palmerston (C),2672,1506,79,341
Roper Gulf (R),1891,1264,8,225
Tiwi Islands (R),864,603,0,84
Victoria Daly (R),642,380,5,74
Wagait (S),27,24,0,5
West Arnhem (R),1994,1301,0,217
West Daly (R),1128,683,0,173
Unincorporated NT,628,413,9,58
Unincorporated ACT,17260,8378,1268,4861
Unincorp. Other Territories,154,111,6,14
Albury (C),3649,2677,296,841
Armidale Regional (A),2721,1474,94,932
Ballina (A),2318,1654,178,325
Balranald (A),104,63,12,10
Bathurst Regional (A),2498,1503,150,634
Bayside (A),8102,5284,541,1717
Bega Valley (A),1880,1567,195,272
Bellingen (A),915,807,66,123
Berrigan (A),483,340,79,45
Blacktown (C),24351,15673,1280,4976
Bland (A),259,158,18,25
Blayney (A),365,244,28,52
Blue Mountains (C),3482,2287,317,557
Bogan (A),184,116,6,12
Bourke (A),312,242,9,51
Brewarrina (A),207,184,5,32
Broken Hill (C),1182,1128,59,206
Burwood (A),1778,1133,102,506
Byron (A),2863,2437,170,364
Cabonne (A),578,350,35,69
Camden (A),5265,2625,247,802
Campbelltown (C) (NSW),13754,8828,670,2607
Canada Bay (A),2579,1533,181,555
Canterbury-Bankstown (A),30013,18336,1447,6619
Carrathool (A),132,88,10,15
Central Coast (C) (NSW),20024,15143,1268,3369
Central Darling (A),198,180,0,43
Cessnock (C),4166,3270,269,687
Clarence Valley (A),3587,3244,349,517
Cobar (A),151,144,7,25
Coffs Harbour (C),5205,4279,362,903
Coolamon (A),212,159,13,30
Coonamble (A),401,258,11,60
Cootamundra-Gundagai Regional (A),553,421,35,68
Cowra (A),804,696,54,116
Cumberland (A),19257,11930,871,3965
Dubbo Regional (A),3394,2327,173,513
Dungog (A),462,346,42,65
Edward River (A),554,366,41,68
Eurobodalla (A),2204,1954,252,299
Fairfield (C),19793,15985,969,4978
Federation (A),656,537,100,74
Forbes (A),557,393,37,59
Georges River (A),7257,4387,560,1690
Gilgandra (A),392,244,15,50
Glen Innes Severn (A),695,591,66,104
Goulburn Mulwaree (A),1605,1300,95,284
Greater Hume Shire (A),530,292,36,69
Griffith (C),1117,744,48,171
Gunnedah (A),775,521,31,122
Gwydir (A),364,196,24,42
Hawkesbury (C),2855,2054,188,481
Hay (A),149,113,8,22
Hilltops (A),1084,848,88,130
Hornsby (A),4865,2431,421,1208
Hunters Hill (A),263,178,13,63
Inner West (A),7957,5840,466,2069
Inverell (A),1462,997,87,213
Junee (A),283,188,24,41
Kempsey (A),2385,2018,148,410
Kiama (A),740,433,83,120
Ku-ring-gai (A),3143,1242,240,865
Kyogle (A),773,728,60,83
Lachlan (A),535,313,21,61
Lake Macquarie (C),10608,7488,917,2047
Lane Cove (A),917,513,51,232
Leeton (A),586,451,45,83
Lismore (C),3384,2812,244,651
Lithgow (C),1219,1025,96,155
Liverpool (C),17993,11806,850,4072
Liverpool Plains (A),505,418,25,60
Lockhart (A),160,91,9,21
Maitland (C),5265,3287,396,892
Mid-Coast (A),6190,5469,598,895
Mid-Western Regional (A),1268,1030,93,153
Moree Plains (A),1116,777,30,169
Mosman (A),507,299,22,124
Murray River (A),663,388,115,59
Murrumbidgee (A),178,119,14,20
Muswellbrook (A),986,762,50,164
Nambucca (A),1563,1441,116,242
Narrabri (A),853,638,45,130
Narrandera (A),376,283,21,48
Narromine (A),444,309,17,67
Newcastle (C),11390,6821,663,4051
North Sydney (A),1521,1012,76,347
Northern Beaches (A),6384,3909,357,1296
Oberon (A),251,182,15,19
Orange (C),2286,1526,129,492
Parkes (A),1038,675,70,132
Parramatta (C),12984,7473,917,2946
Penrith (C),12686,8415,661,2267
Port Macquarie-Hastings (A),5421,3620,387,1021
Port Stephens (A),4418,3333,376,722
Queanbeyan-Palerang Regional (A),2000,1328,130,273
Randwick (C),5062,3007,313,1574
Richmond Valley (A),1696,1213,139,299
Ryde (C),5292,2841,412,1387
Shellharbour (C),4091,3039,360,764
Shoalhaven (C),5689,4581,504,822
Singleton (A),1056,767,77,152
Snowy Monaro Regional (A),925,718,97,104
Snowy Valleys (A),759,596,61,80
Strathfield (A),2057,1227,108,528
Sutherland Shire (A),6731,3997,483,1280
Sydney (C),9262,7152,530,2655
Tamworth Regional (A),4088,2789,221,669
Temora (A),321,191,35,44
Tenterfield (A),601,550,51,66
The Hills Shire (A),6171,2716,543,1390
Tweed (A),5868,4653,496,947
Upper Hunter Shire (A),683,503,46,65
Upper Lachlan Shire (A),352,229,38,41
Uralla (A),363,241,33,45
Wagga Wagga (C),4338,2341,280,1216
Walcha (A),184,121,12,22
Walgett (A),773,713,26,117
Warren (A),223,176,7,24
Warrumbungle Shire (A),714,539,31,93
Waverley (A),1755,1208,80,361
Weddin (A),181,131,16,21
Wentworth (A),516,407,44,57
Willoughby (C),2109,1110,165,550
Wingecarribee (A),1703,1018,151,251
Wollondilly (A),2154,1257,131,298
Wollongong (C),12736,8477,906,3856
Woollahra (A),1246,756,47,314
Yass Valley (A),558,345,37,84
Unincorporated NSW,50,30,0,5
Alpine (S),680,427,141,58
Ararat (RC),765,592,179,110
Ballarat (C),8336,5029,1493,1777
Banyule (C),6575,3411,1245,1411
Bass Coast (S),2580,1960,667,262
Baw Baw (S),3390,2047,766,463
Bayside (C),3014,1594,561,660
Benalla (RC),848,629,154,106
Boroondara (C),6682,2451,1105,2287
Brimbank (C),18867,12165,2442,3696
Buloke (S),345,278,43,30
Campaspe (S),2437,1704,448,265
Cardinia (S),7324,3684,1070,1199
Casey (C),26691,13267,3278,5094
Central Goldfields (S),1246,1009,266,160
Colac-Otway (S),1343,876,297,156
Corangamite (S),934,622,230,99
Darebin (C),10184,6268,1436,2346
East Gippsland (S),3681,2552,898,393
Frankston (C),8906,6338,1381,1493
Gannawarra (S),644,491,114,64
Glen Eira (C),6413,3036,995,1682
Glenelg (S),1299,1089,333,140
Golden Plains (S),1279,671,280,158
Greater Bendigo (C),8471,5274,1402,1806
Greater Dandenong (C),13621,8321,1774,2955
Greater Geelong (C),18043,10183,3386,4102
Greater Shepparton (C),5088,3509,709,861
Hepburn (S),1004,705,257,92
Hindmarsh (S),336,270,83,51
Hobsons Bay (C),5370,3331,821,966
Horsham (RC),1240,738,271,213
Hume (C),23228,13253,2295,4419
Indigo (S),779,456,139,80
Kingston (C) (Vic0),7585,4202,1580,1425
Knox (C),9219,4629,1855,1804
Latrobe (C) (Vic0),6653,5017,1245,956
Loddon (S),510,471,77,63
Macedon Ranges (S),2216,1032,509,298
Manningham (C),6423,2675,1372,1348
Mansfield (S),463,294,113,27
Maribyrnong (C),6474,4377,806,1468
Maroondah (C),6343,3334,1183,1052
Melbourne (C),10628,5496,1095,4090
Melton (C),14356,7341,1502,2476
Mildura (RC),4394,3083,472,615
Mitchell (S),3116,1950,444,449
Moira (S),1815,1290,341,210
Monash (C),10796,4362,2093,3224
Moonee Valley (C),6675,3727,1164,1465
Moorabool (S),2156,1245,377,280
Moreland (C),12248,6685,1582,2932
Mornington Peninsula (S),7927,4941,1747,1092
Mount Alexander (S),1155,767,274,129
Moyne (S),954,538,231,89
Murrindindi (S),826,595,195,96
Nillumbik (S),2538,1097,631,495
Northern Grampians (S),729,596,178,70
Port Phillip (C),4925,3803,622,1006
Pyrenees (S),472,377,103,51
Queenscliffe (B),121,50,47,18
South Gippsland (S),1740,1053,500,155
Southern Grampians (S),971,652,244,122
Stonnington (C),4307,2333,525,1406
Strathbogie (S),620,450,140,52
Surf Coast (S),1567,734,350,277
Swan Hill (RC),1315,893,208,158
Towong (S),333,250,50,28
Wangaratta (RC),1677,1086,344,237
Warrnambool (C),2269,1482,552,368
Wellington (S),3080,2099,764,340
West Wimmera (S),165,155,29,12
Whitehorse (C),9198,3914,1926,2316
Whittlesea (C),16760,9135,2111,3333
Wodonga (C),2831,1809,357,482
Wyndham (C),22403,10396,2394,3731
Yarra (C),5552,3605,602,1668
Yarra Ranges (S),8103,4616,1639,1246
Yarriambiack (S),369,312,68,41
Unincorporated Vic,69,39,17,0
Aurukun (S),436,325,0,32
Balonne (S),300,185,8,33
Banana (S),669,443,39,68
Barcaldine (R),142,87,5,13
Barcoo (S),15,11,0,0
Blackall-Tambo (R),81,68,10,11
Boulia (S),50,39,0,5
Brisbane (C),69126,35842,4878,19257
Bulloo (S),15,6,5,0
Bundaberg (R),7227,5449,784,1002
Burdekin (S),884,680,62,102
Burke (S),40,27,0,5
Cairns (R),13686,9050,649,2057
Carpentaria (S),271,217,5,24
Cassowary Coast (R),2164,1767,162,203
Central Highlands (R) (Qld),1240,816,76,133
Charters Towers (R),732,561,52,83
Cherbourg (S),320,211,0,59
Cloncurry (S),229,168,0,27
Cook (S),525,400,16,35
Croydon (S),36,22,0,5
Diamantina (S),10,6,0,0
Doomadgee (S),409,284,5,36
Douglas (S),1056,826,76,89
Etheridge (S),45,25,0,5
Flinders (S) (Qld),86,59,0,8
Fraser Coast (R),8339,6836,1021,1180
Gladstone (R),4516,3652,361,634
Gold Coast (C),40248,23994,2323,8271
Goondiwindi (R),617,352,38,65
Gympie (R),3875,2969,367,548
Hinchinbrook (S),601,523,74,64
Hope Vale (S),290,177,8,39
Ipswich (C),17903,10586,1040,3126
Isaac (R),489,313,24,36
Kowanyama (S),377,289,0,67
Livingstone (S),1823,1329,260,199
Lockhart River (S),159,104,5,20
Lockyer Valley (R),2981,1816,186,638
Logan (C),28527,16847,1527,4870
Longreach (R),155,109,8,14
Mackay (R),6072,4244,490,798
McKinlay (S),35,22,5,0
Mapoon (S),76,48,5,7
Maranoa (R),658,383,50,73
Mareeba (S),1998,1624,100,189
Moreton Bay (R),29692,18305,2381,4964
Mornington (S),288,211,0,25
Mount Isa (C),1467,947,38,204
Murweh (S),253,210,18,28
Napranum (S),227,194,0,29
Noosa (S),2666,2093,273,385
North Burnett (R),745,595,66,66
Northern Peninsula Area (R),494,265,5,39
Palm Island (S),623,438,5,88
Paroo (S),201,148,5,23
Pormpuraaw (S),243,187,0,16
Quilpie (S),54,33,0,0
Redland (C),7798,5015,727,1196
Richmond (S),32,22,5,5
Rockhampton (R),5959,4040,444,848
Scenic Rim (R),2518,1801,218,368
Somerset (R),1692,1273,154,208
South Burnett (R),2520,1845,241,287
Southern Downs (R),2418,1725,254,289
Sunshine Coast (R),19400,11689,1731,3782
Tablelands (R),1751,1414,126,182
Toowoomba (R),10922,6328,902,1953
Torres (S),459,219,5,51
Torres Strait Island (R),1318,593,8,80
Townsville (C),13986,8663,832,2914
Weipa (T),134,69,5,11
Western Downs (R),2291,1423,145,306
Whitsunday (R),2136,1721,159,199
Winton (S),46,28,5,0
Woorabinda (S),332,247,6,51
Wujal Wujal (S),116,93,5,8
Yarrabah (S),890,613,8,154
Adelaide (C),2073,1193,115,918
Adelaide Hills (DC),1493,775,187,295
Adelaide Plains (DC),566,419,46,81
Alexandrina (DC),1645,1258,229,225
Anangu Pitjantjatjara (AC),669,524,0,65
Barossa (DC),1154,758,136,156
Barunga West (DC),117,161,15,5
Berri and Barmera (DC),747,638,69,120
Burnside (C),1734,743,169,484
Campbelltown (C) (SA),2850,1543,259,724
Ceduna (DC),415,296,11,40
Charles Sturt (C),6882,4646,614,1669
Clare and Gilbert Valleys (DC),417,321,42,40
Cleve (DC),129,49,5,5
Coober Pedy (DC),233,282,5,23
Copper Coast (DC),1134,1000,186,108
Elliston (DC),86,60,7,5
Flinders Ranges (DC),118,92,9,7
Franklin Harbour (DC),83,55,5,10
Gawler (T),1700,1168,160,348
Goyder (DC),351,233,29,29
Grant (DC),323,221,42,31
Holdfast Bay (C),1672,959,186,402
Kangaroo Island (DC),275,221,25,17
Karoonda East Murray (DC),81,58,7,10
Kimba (DC),89,17,5,5
Kingston (DC) (SA),93,99,12,0
Light (RegC),858,418,92,184
Lower Eyre Peninsula (DC),225,159,30,17
Loxton Waikerie (DC),641,493,57,69
Maralinga Tjarutja (AC),35,21,0,0
Marion (C),6111,3722,613,1645
Mid Murray (DC),679,658,83,74
Mitcham (C),3124,1361,292,1014
Mount Barker (DC),2102,1173,201,403
Mount Gambier (C),1949,1393,257,291
Mount Remarkable (DC),195,141,17,16
Murray Bridge (RC),1799,1462,158,246
Naracoorte and Lucindale (DC),381,264,33,35
Northern Areas (DC),217,196,23,18
Norwood Payneham St Peters (C),1814,1005,141,543
Onkaparinga (C),12691,8589,1187,2460
Orroroo/Carrieton (DC),84,29,7,0
Peterborough (DC),163,188,8,16
Playford (C),10538,7619,716,2053
Port Adelaide Enfield (C),9753,6614,700,2292
Port Augusta (C),1412,1167,92,175
Port Lincoln (C),1082,889,83,150
Port Pirie City and Dists (M),1513,1267,181,252
Prospect (C),1036,595,95,282
Renmark Paringa (DC),668,555,51,88
Robe (DC),56,43,13,5
Roxby Downs (M),94,49,0,5
Salisbury (C),13362,8509,905,2963
Southern Mallee (DC),89,64,5,10
Streaky Bay (DC),136,110,16,11
Tatiara (DC),258,142,18,23
Tea Tree Gully (C),5343,3070,508,1074
The Coorong (DC),386,311,25,42
Tumby Bay (DC),127,87,20,6
Unley (C),1635,781,142,472
Victor Harbor (C),901,719,140,135
Wakefield (DC),506,376,49,49
Walkerville (M),306,179,25,92
Wattle Range (DC),689,586,95,94
West Torrens (C),3528,2112,296,1041
Whyalla (C),1962,1782,189,317
Wudinna (DC),43,32,0,0
Yankalilla (DC),326,298,49,32
Yorke Peninsula (DC),689,627,121,66
Unincorporated SA,349,348,5,37
Albany (C),2227,1499,246,305
Armadale (C),6416,4248,477,1135
Ashburton (S),196,144,0,9
Augusta-Margaret River (S),832,534,112,58
Bassendean (T),897,603,65,156
Bayswater (C),4251,2744,385,833
Belmont (C),3024,1936,215,574
Beverley (S),102,91,13,6
Boddington (S),94,68,7,0
Boyup Brook (S),76,61,8,5
Bridgetown-Greenbushes (S),260,186,58,21
Brookton (S),70,47,0,5
Broome (S),1742,1173,44,196
Broomehill-Tambellup (S),77,57,5,13
Bruce Rock (S),44,35,0,5
Bunbury (C),2275,1801,253,332
Busselton (C),1905,1275,257,222
Cambridge (T),726,295,48,242
Canning (C),5958,2756,552,1519
Capel (S),857,517,114,105
Carnamah (S),44,35,0,5
Carnarvon (S),642,531,20,94
Chapman Valley (S),62,47,0,10
Chittering (S),246,128,27,18
Claremont (T),344,131,25,137
Cockburn (C),6104,3733,545,1233
Collie (S),688,614,76,68
Coolgardie (S),228,204,13,20
Coorow (S),65,53,6,5
Corrigin (S),48,39,5,5
Cottesloe (T),191,73,15,66
Cranbrook (S),60,37,5,0
Cuballing (S),45,30,11,5
Cue (S),26,28,5,0
Cunderdin (S),69,49,6,10
Dalwallinu (S),52,26,5,10
Dandaragan (S),186,136,23,13
Dardanup (S),694,429,107,89
Denmark (S),337,264,53,22
Derby-West Kimberley (S),1845,1354,15,220
Donnybrook-Balingup (S),298,234,41,26
Dowerin (S),40,22,5,0
Dumbleyung (S),44,40,0,5
Dundas (S),82,67,5,5
East Fremantle (T),274,151,30,64
East Pilbara (S),634,472,9,81
Esperance (S),734,477,52,92
Exmouth (S),168,133,12,10
Fremantle (C),2018,1505,175,462
Gingin (S),222,185,14,16
Gnowangerup (S),73,51,5,7
Goomalling (S),55,42,7,0
Gosnells (C),9777,5496,737,1867
Greater Geraldton (C),3071,2215,182,370
Halls Creek (S),1001,639,5,138
Harvey (S),1359,947,195,147
Irwin (S),170,171,21,16
Jerramungup (S),49,30,6,5
Joondalup (C),6641,3422,762,1439
Kalamunda (C),2782,1595,303,451
Kalgoorlie/Boulder (C),1494,1074,61,147
Karratha (C),1048,742,23,110
Katanning (S),387,243,18,36
Kellerberrin (S),79,74,0,12
Kent (S),8,0,0,5
Kojonup (S),113,70,5,0
Kondinin (S),36,29,5,5
Koorda (S),21,12,5,5
Kulin (S),29,13,0,10
Kwinana (C),3311,2230,242,533
Lake Grace (S),47,15,5,0
Laverton (S),134,127,0,17
Leonora (S),130,104,0,12
Mandurah (C),5860,4343,639,877
Manjimup (S),519,366,61,59
Meekatharra (S),225,168,0,38
Melville (C),4121,1896,431,1236
Menzies (S),35,27,0,0
Merredin (S),221,176,16,25
Mingenew (S),16,18,0,5
Moora (S),187,131,12,22
Morawa (S),65,42,0,8
Mosman Park (T),371,229,20,106
Mount Magnet (S),107,99,6,14
Mount Marshall (S),22,11,5,0
Mukinbudin (S),18,8,0,5
Mundaring (S),1626,1039,172,258
Murchison (S),5,5,0,0
Murray (S),1128,832,142,138
Nannup (S),85,83,14,5
Narembeen (S),27,18,5,0
Narrogin (S),352,239,29,56
Nedlands (C),623,235,39,262
Ngaanyatjarraku (S),449,393,0,43
Northam (S),912,684,42,109
Northampton (S),232,198,22,16
Nungarin (S),15,9,0,5
Peppermint Grove (S),28,12,5,6
